,date,open,high,low,close
255,2022-11-16 10:00:00,16744.33000000,16779.00000000,16680.54000000,16731.47000000
256,2022-11-16 11:00:00,16731.48000000,16775.38000000,16650.29000000,16707.90000000
257,2022-11-16 12:00:00,16706.64000000,16721.23000000,16557.01000000,16659.82000000
258,2022-11-16 13:00:00,16659.33000000,16700.24000000,16449.41000000,16513.61000000
259,2022-11-16 14:00:00,16512.86000000,16580.26000000,16391.03000000,16484.78000000
260,2022-11-16 15:00:00,16484.78000000,16562.85000000,16378.61000000,16431.70000000
261,2022-11-16 16:00:00,16431.70000000,16556.34000000,16401.00000000,16498.65000000
262,2022-11-16 17:00:00,16498.65000000,16636.29000000,16491.99000000,16577.01000000
263,2022-11-16 18:00:00,16577.97000000,16643.23000000,16531.60000000,16549.90000000
264,2022-11-16 19:00:00,16549.05000000,16568.74000000,16452.07000000,16556.88000000
265,2022-11-16 20:00:00,16558.20000000,16602.82000000,16522.24000000,16582.26000000
266,2022-11-16 21:00:00,16582.26000000,16616.04000000,16532.10000000,16549.79000000
267,2022-11-16 22:00:00,16549.79000000,16704.09000000,16499.46000000,16669.61000000
268,2022-11-16 23:00:00,16669.61000000,16773.09000000,16630.00000000,16662.76000000
269,2022-11-17 00:00:00,16661.61000000,16751.00000000,16654.00000000,16702.61000000
270,2022-11-17 01:00:00,16702.61000000,16745.68000000,16682.38000000,16694.30000000
271,2022-11-17 02:00:00,16694.30000000,16704.98000000,16573.20000000,16577.42000000
272,2022-11-17 03:00:00,16577.42000000,16610.82000000,16505.00000000,16526.18000000
273,2022-11-17 04:00:00,16526.18000000,16539.46000000,16410.74000000,16504.00000000
274,2022-11-17 05:00:00,16503.31000000,16618.27000000,16497.62000000,16578.36000000
275,2022-11-17 06:00:00,16579.77000000,16620.00000000,16533.95000000,16570.05000000
276,2022-11-17 07:00:00,16571.69000000,16624.12000000,16535.70000000,16611.90000000
277,2022-11-17 08:00:00,16611.90000000,16635.82000000,16561.66000000,16570.30000000
278,2022-11-17 09:00:00,16571.04000000,16582.68000000,16471.36000000,16522.75000000
279,2022-11-17 10:00:00,16522.19000000,16557.00000000,16500.16000000,16526.51000000
280,2022-11-17 11:00:00,16526.51000000,16615.99000000,16523.45000000,16595.08000000
281,2022-11-17 12:00:00,16594.19000000,16604.71000000,16546.39000000,16577.35000000
282,2022-11-17 13:00:00,16577.35000000,16580.38000000,16430.00000000,16492.50000000
283,2022-11-17 14:00:00,16492.50000000,16553.76000000,16458.09000000,16511.21000000
284,2022-11-17 15:00:00,16511.21000000,16717.49000000,16500.01000000,16536.71000000
285,2022-11-17 16:00:00,16534.61000000,16682.00000000,16517.36000000,16655.09000000
286,2022-11-17 17:00:00,16655.09000000,16707.70000000,16615.80000000,16693.40000000
287,2022-11-17 18:00:00,16693.40000000,16748.94000000,16669.03000000,16703.16000000
288,2022-11-17 19:00:00,16702.44000000,16713.00000000,16602.41000000,16620.56000000
289,2022-11-17 20:00:00,16620.56000000,16701.48000000,16608.98000000,16694.16000000
290,2022-11-17 21:00:00,16694.35000000,16749.00000000,16682.05000000,16694.55000000
291,2022-11-17 22:00:00,16694.55000000,16735.00000000,16666.23000000,16710.92000000
292,2022-11-17 23:00:00,16710.92000000,16730.00000000,16650.49000000,16692.56000000
293,2022-11-18 00:00:00,16692.56000000,16971.99000000,16682.06000000,16950.74000000
294,2022-11-18 01:00:00,16950.74000000,17011.00000000,16854.37000000,16889.82000000
